#frame,fps
0,52548.61
1,277.3274
2,256.8098
3,277.9886
4,296.2013
5,317.6011
6,338.7954
7,360.8037
8,390.3534
9,417.576
10,445.5661
11,478.0955
12,510.9107
13,543.5993
14,582.0277
15,622.7045
16,651.3859
17,691.4245
18,736.7022
19,780.9996
20,818.1368
21,866.2055
22,895.7728
23,926.3298
24,974.539
25,1006.914
26,1040.517
27,1084.958
28,1120.153
29,1137.344
30,1146.346
31,1185.869
32,1221.841
33,1223.192
34,1263.823
35,1295.748
36,1297.775
37,1326.129
38,1355
39,1372.879
40,1372.049
41,1402.892
42,1429.691
43,1420.623
44,1447.105
45,1473.489
46,1464.096
47,1466.096
48,1482.48
49,1470.003
50,1442.14
51,1468.122
52,1464.111
53,1457.477
54,1471.723
55,1486.838
56,1392.658
57,1396.578
58,1423.26
59,1445.397
60,1449.935
61,1435.9
62,1429.563
63,1447.8
64,1447.256
65,1477.047
66,1487.4
67,1471.773
68,1491.341
69,1510.863
70,1461.911
71,1457.827
72,1482.894
73,1459.595
74,1427.614
75,1463.974
76,1467.9
77,1463.078
78,1464.769
79,1480.864
80,1497.739
81,1481.051
82,1501.667
83,1467.064
84,1427.51
85,1441.133
86,1451.298
87,1453.225
88,1474.943
89,1496.193
90,1485.56
91,1482.509
92,1500.513
93,1495.406
94,1488.553
95,1509.425
96,1533.781
97,1539.657
98,1532.553
99,1546.898
100,1552.916
101,1520.717
102,1543.29
103,1534.732
104,1512.375
105,1535.767
106,1531.989
107,1512.832
108,1530.806
109,1543.197
110,1543.794
111,1545.023
112,1563.121
113,1541.115
114,1522.017
115,1532.143
116,1537.793
117,1502.755
118,1527.954
119,1544.085
120,1550.196
121,1555.883
122,1567.498
123,1575.539
124,1583.273
125,1564.13
126,1572.625
127,1590.858
128,1556.657
129,1565.307
130,1569.472
131,1539.453
132,1563.641
133,1581.303
134,1580.176
135,1510.536
136,1531.03
137,1536.737
138,1514.379
139,1536.044
140,1545.044
141,1540.007
142,1538.336
143,1560.969
144,1567.976
145,1534.429
146,1555.748
147,1566.539
148,1559.589
149,1577.125
150,1564.116
151,1548.887
152,1567.098
153,1578.307
154,1562.4
155,1558.684
156,1569.71
157,1583.094
158,1539.014
159,1561.012
160,1573.69
161,1545.489
162,1559.309
163,1579.507
164,1595.436
165,1588.817
166,1594.72
167,1573.237
168,1540.858
169,1557.05
170,1559.926
171,1557.68
172,1564.131
173,1584.738
174,1594.623
175,1567.21
176,1577.066
177,1586.823
178,1556.563
179,1564.292
180,1578.506
181,1586.07
182,1565.238
183,1579.723
184,1560.647
185,1535.546
186,1552.601
187,1553.899
188,1506.255
189,1487.678
190,1498.914
191,1503.161
192,1489.917
193,1515.036
194,1531.17
195,1515.276
196,1503.327
197,1520.422
198,1537.513
199,1517.15
200,1539.248
201,1550.289
202,1510.581
203,1531.353
204,1552.179
205,1553.76
206,1530.48
207,1551.636
208,1563.91
209,1548.562
210,1565.498
211,1581.21
212,1565.645
213,1556.486
214,1564.319
215,1542.71
216,1489.006
217,1513.661
218,1492.704
219,1480.598
220,1498.638
221,1509.377
222,1488.798
223,1506.445
224,1508.357
225,1521.247
226,1513.798
227,1531.766
228,1510.034
229,1494.65
230,1509.052
231,1525.341
232,1502.106
233,1513.801
234,1497.141
235,1520.76
236,1508.138
237,1527.995
238,1539.913
239,1509.643
240,1525.419
241,1507.7
242,1494.13
243,1517.826
244,1529.769
245,1523.057
246,1504.876
247,1531.45
248,1517.685
249,1500.513
250,1517.854
251,1533.337
252,1549.991
253,1526.884
254,1546.777
255,1557.305
256,1536.661
257,1557.207
258,1564.143
259,1558.105
260,1436.937
261,1460.98
262,1457.928
263,1451.054
264,1462.482
265,1487.382
266,1463.85
267,1485.516
268,1502.9
269,1520.376
270,1505.55
